recipe_name,author,category,keywords,description,ingredients,instructions,recipe_image,video_link,prep_time,servings,author_email
Classic Tiramasu,Grandma Rosa,Morsel,[],A classic Italian dessert of espresso-soaked ladyfingers layered with sweet mascarpone cream.,"[""6 egg yolks"",""3/4 cup white sugar"",""2/3 cup milk"",""1 1/4 cups heavy cream"",""1/2 tsp vanilla extract"",""1 lb mascarpone cheese"",""1/4 cup strong brewed coffee"",""2 tbsp rum (optional)"",""24 ladyfinger cookies"",""2 tbsp unsweetened cocoa powder""]","[""Whisk egg yolks and sugar in a saucepan over low heat until well blended."",""Slowly whisk in milk and cook, stirring constantly, until mixture thickens."",""Remove from heat and let cool slightly, then whisk in mascarpone until smooth."",""In a separate bowl, whip heavy cream and vanilla to stiff peaks, then fold into mascarpone mixture."",""Combine coffee and rum in a shallow dish. Dip each ladyfinger briefly and layer in a dish."",""Spread half the mascarpone mixture over the ladyfingers, then repeat with a second layer."",""Cover and refrigerate for at least 4 hours, or overnight for best flavor."",""Dust generously with cocoa powder just before serving.""]",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyhPOie99idjlggBNU_IbauMrQujtYtHOwdpnbeYqwHaIJF3fO3Bj2RoM&s=10,https://youtube.com/watch?v=example,30 min,6,ddarrellsmith@gmail.com
Snickerdoodle Cookies,Jamie Lin,Morsel,[],"Soft, chewy cinnamon-sugar cookies with a delicately crisp edge.","[""2 3/4 cups flour"",""1 tsp baking soda"",""1/2 tsp cream of tartar"",""1 cup butter, softened"",""1 1/2 cups sugar"",""2 eggs"",""2 tbsp sugar + 2 tsp cinnamon (for rolling)""]","[""Preheat oven to 400°F (200°C)."",""Whisk together flour, baking soda, and cream of tartar."",""Cream butter and sugar until fluffy, then beat in eggs."",""Mix in dry ingredients until just combined."",""Roll dough into balls and coat in cinnamon-sugar mixture."",""Bake 8-10 minutes until edges are set. Cool on a wire rack.""]",https://live.staticflickr.com/7088/7109350283_eee9fb7018_b.jpg,,25 min,24 cookies,ddarrellsmith@gmail.com
Fudgy Brownie Bites,Marco Reyes,Morsel,[],"Rich, dense chocolate brownie bites with a shiny crackled top.","[""1 cup butter"",""2 cups sugar"",""4 eggs"",""1 cup cocoa powder"",""1 cup flour"",""1/2 tsp salt"",""1 tsp vanilla extract""]","[""Preheat oven to 350°F (175°C) and grease a mini-muffin pan."",""Melt butter and whisk in sugar, then eggs one at a time."",""Fold in cocoa powder, flour, salt, and vanilla until just combined."",""Spoon into pan and bake 12-15 minutes until set."",""Cool completely before removing from pan.""]",https://cdn12.picryl.com/photo/2016/12/31/fudge-brownies-snack-chocolate-food-drink-5ac40b-1024.jpg,,35 min,18 bites,ddarrellsmith@gmail.com
Chocolate Trail Mix,Priya Nair,Morsel,"[""Chocolate""]","A crunchy, portable snack mix loaded with chocolate, nuts, and dried fruit.","[""1 cup roasted almonds"",""1 cup pretzels"",""1 cup mini chocolate chips"",""1/2 cup dried cranberries"",""1/2 cup pumpkin seeds""]","[""Combine all ingredients in a large bowl."",""Toss to distribute evenly."",""Store in an airtight container for up to 2 weeks.""]",https://live.staticflickr.com/65535/53602666394_b94ffefddc_b.jpg,,5 min,8,ddarrellsmith@gmail.com
Savory Spiced Nuts,Diane Foster,Morsel,"[""Savory""]","Warm, smoky roasted nuts tossed with rosemary and a touch of cayenne.","[""2 cups mixed raw nuts"",""2 tbsp olive oil"",""1 tbsp fresh rosemary, chopped"",""1 tsp smoked paprika"",""1/4 tsp cayenne pepper"",""1 tsp salt""]","[""Preheat oven to 325°F (165°C)."",""Toss nuts with olive oil and seasonings."",""Spread on a baking sheet and roast 12-15 minutes, stirring once."",""Cool before serving.""]",https://cdn.shopify.com/s/files/1/1053/4132/files/untitled-900-x-900-px-36.png?v=1733282268,,20 min,6,ddarrellsmith@gmail.com
Fluffy Pancake Mix,Owen Bradley,Morsel,[],"A make-ahead dry pancake mix that turns into light, fluffy pancakes in minutes.","[""4 cups flour"",""2 tbsp baking powder"",""1 tbsp sugar"",""1 tsp salt"",""(add per batch) 1 cup milk, 1 egg, 2 tbsp melted butter""]","[""Whisk flour, baking powder, sugar, and salt together and store in an airtight container."",""When ready to cook, whisk 1 cup mix with milk, egg, and melted butter."",""Cook 1/4 cup portions on a hot, greased griddle until golden on both sides.""]",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSzQqNjMZCF7Gquiialn2XgnwaG2sEUSRirXxCY7AWiLw&s=10,,10 min,4,ddarrellsmith@gmail.com
Sea Salt Chocolate Bark,Ana Costa,Morsel,"[""Chocolate""]",Silky dark chocolate bark finished with flaky sea salt and toasted almonds.,"[""12 oz dark chocolate, chopped"",""1/2 cup toasted almonds, roughly chopped"",""1 tsp flaky sea salt""]","[""Melt chocolate gently over a double boiler."",""Spread evenly onto a parchment-lined baking sheet."",""Sprinkle with almonds and sea salt."",""Chill until set, then break into shards.""]",https://walterpine.com/cdn/shop/products/HoneyCardamomCaramelwithSeaSaltArtyBrownPaper_2000x.jpg?v=1769891390,,15 min,10,ddarrellsmith@gmail.com
Cinnamon Streusel Hot Cocoa,Grandma Rosa,Mix,"[""Chocolate""]",Rich hot cocoa mix warmed with cinnamon and brown sugar streusel notes.,"[""1/4 cup cocoa powder"",""1/4 cup sugar"",""1/2 tsp cinnamon"",""pinch of salt"",""2 cups milk"",""1/2 tsp vanilla extract""]","[""Whisk cocoa, sugar, cinnamon, and salt together in a saucepan."",""Add a splash of milk and whisk into a smooth paste."",""Stir in remaining milk and heat gently, whisking, until steaming."",""Remove from heat, stir in vanilla, and serve.""]",https://counselingwellnesspgh.com/wp-content/uploads/2022/09/fall-drinks.jpg,,10 min,2,ddarrellsmith@gmail.com
Peppermint Hot Cocoa,Sofia Delgado,Mix,[],"Classic hot cocoa with a cool peppermint finish, perfect for winter evenings.","[""1/4 cup cocoa powder"",""1/4 cup sugar"",""pinch of salt"",""2 cups milk"",""1/4 tsp peppermint extract"",""whipped cream, for serving""]","[""Whisk cocoa, sugar, and salt together in a saucepan."",""Whisk in a splash of milk to form a smooth paste, then add remaining milk."",""Heat gently, whisking, until steaming."",""Stir in peppermint extract and top with whipped cream.""]",https://upload.wikimedia.org/wikipedia/commons/9/92/Hot_chocolate_with_whipped_cream_and_dried_berries_%28Vegan%2C_KETO%2C_LCHF%2C_Low_Carb%2C_Gluten_free%2C_FIT%29_-_52774784724.jpg,,10 min,2,ddarrellsmith@gmail.com
Salted Caramel Hot Cocoa,Owen Bradley,Mix,[],Creamy hot cocoa swirled with salted caramel for a sweet-and-salty treat.,"[""1/4 cup cocoa powder"",""3 tbsp caramel sauce"",""pinch of sea salt"",""2 cups milk"",""1/2 tsp vanilla extract""]","[""Whisk cocoa, caramel sauce, and salt together in a saucepan."",""Add a splash of milk and whisk smooth, then stir in remaining milk."",""Heat gently, whisking, until steaming."",""Remove from heat, stir in vanilla, and serve with extra caramel drizzle.""]",https://cdn12.picryl.com/photo/2016/12/31/hot-chocolate-drink-hot-food-drink-3bd0f4-1024.jpg,,10 min,2,ddarrellsmith@gmail.com
